日付,列 1,旧約1,完了,旧約2,完了 ,詩,完了  ,新約,完了   ,,,曜日,,,,,,,,
4/20(Mon),#VALUE!,Ⅰサム 1-2,FALSE,-,FALSE,詩 120,FALSE,使徒 5,FALSE,,,,,,,,,,,
4/21(Tue),#VALUE!,Ⅰサム 3-5,FALSE,-,FALSE,詩 23,FALSE,使徒 6,FALSE,,,,,,,,,,,
4/22(Wed),#VALUE!,Ⅰサム 6-8,FALSE,-,FALSE,-,FALSE,使徒 7,FALSE,,,,,,,,,,,
4/23(Thu),#VALUE!,Ⅰサム 9-10,FALSE,-,FALSE,-,FALSE,使徒 8,FALSE,,,,,,,,,,,
4/24(Fri),#VALUE!,Ⅰサム 11-13,FALSE,-,FALSE,詩 38,FALSE,使徒 9,FALSE,,,,,,,,,,,
4/25(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
4/26(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
4/27(Mon),#VALUE!,Ⅰサム 14,FALSE,-,FALSE,詩 124,FALSE,使徒 10,FALSE,,,,,,,,,,,
4/28(Tue),#VALUE!,Ⅰサム 15-16,FALSE,Ⅰ歴 1,FALSE,詩 39,FALSE,使徒 11,FALSE,,,,,,,,,,,
4/29(Wed),#VALUE!,Ⅰサム 17,FALSE,Ⅰ歴 2,FALSE,-,FALSE,使徒 12,FALSE,,,,,,,,,,,
4/30(Thu),#VALUE!,Ⅰサム 18-19,FALSE,Ⅰ歴 3,FALSE,詩 59,FALSE,使徒 13,FALSE,,,,,,,,,,,
5/1(Fri),#VALUE!,Ⅰサム 20,FALSE,Ⅰ歴 4,FALSE,"詩 56, 57, 142",FALSE,使徒 14,FALSE,,,,,,,,,,,
5/2(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
5/3(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
5/4(Mon),#VALUE!,Ⅰサム 21-22,FALSE,Ⅰ歴 5,FALSE,詩 52,FALSE,使徒 15,FALSE,,,,,,,,,,,
5/5(Tue),#VALUE!,Ⅰサム 23-24,FALSE,Ⅰ歴 6,FALSE,詩 54,FALSE,使徒 16,FALSE,,,,,,,,,,,
5/6(Wed),#VALUE!,Ⅰサム 25,FALSE,Ⅰ歴 7,FALSE,詩 120,FALSE,使徒 17,FALSE,,,,,,,,,,,
5/7(Thu),#VALUE!,Ⅰサム 26-27,FALSE,Ⅰ歴 8,FALSE,-,FALSE,使徒 18,FALSE,,,,,,,,,,,
5/8(Fri),#VALUE!,Ⅰサム 28-29,FALSE,Ⅰ歴 9,FALSE,-,FALSE,使徒 19,FALSE,,,,,,,,,,,
5/9(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
5/10(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
5/11(Mon),#VALUE!,Ⅰサム 30-31,FALSE,Ⅰ歴 10,FALSE,-,FALSE,使徒 20,FALSE,,,,,,,,,,,
5/12(Tue),#VALUE!,Ⅱサム 1-2,FALSE,Ⅰ歴 11,FALSE,"詩 96, 106",FALSE,使徒 21,FALSE,,,,,,,,,,,
5/13(Wed),#VALUE!,Ⅱサム 3-5,FALSE,Ⅰ歴 12,FALSE,詩 122,FALSE,使徒 22,FALSE,,,,,,,,,,,
5/14(Thu),#VALUE!,Ⅱサム 6,FALSE,Ⅰ歴 13,FALSE,詩 60,FALSE,使徒 23,FALSE,,,,,,,,,,,
5/15(Fri),#VALUE!,Ⅰ歴 14-16,FALSE,-,FALSE,-,FALSE,使徒 24,FALSE,,,,,,,,,,,
5/16(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
5/17(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
5/18(Mon),#VALUE!,Ⅱサム 7-8,FALSE,Ⅰ歴 17,FALSE,詩 132,FALSE,使徒 25,FALSE,,,,,,,,,,,
5/19(Tue),#VALUE!,Ⅱサム 9-10,FALSE,Ⅰ歴 18-19,FALSE,詩 89,FALSE,使徒 26,FALSE,,,,,,,,,,,
5/20(Wed),#VALUE!,Ⅱサム 11-12,FALSE,Ⅰ歴 20,FALSE,"詩 51, 32",FALSE,使徒 27,FALSE,,,,,,,,,,,
5/21(Thu),#VALUE!,Ⅱサム 13-14,FALSE,-,FALSE,-,FALSE,使徒 28,FALSE,,,,,,,,,,,
5/22(Fri),#VALUE!,Ⅱサム 15-17,FALSE,-,FALSE,"詩 3, 63",FALSE,ロマ 1,FALSE,,,,,,,,,,,
5/23(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
5/24(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
5/25(Mon),#VALUE!,Ⅱサム 18-20,FALSE,-,FALSE,詩 34,FALSE,ロマ 2,FALSE,,,,,,,,,,,
5/26(Tue),#VALUE!,Ⅱサム 21-23,FALSE,-,FALSE,詩 18,FALSE,ロマ 3,FALSE,,,,,,,,,,,
5/27(Wed),#VALUE!,Ⅱサム 24,FALSE,Ⅰ歴 21,FALSE,-,FALSE,ロマ 4,FALSE,,,,,,,,,,,
5/28(Thu),#VALUE!,Ⅰ歴 22-25,FALSE,-,FALSE,詩 78,FALSE,ロマ 5,FALSE,,,,,,,,,,,
5/29(Fri),#VALUE!,Ⅰ列 1,FALSE,Ⅰ歴 26-28,FALSE,-,FALSE,ロマ 6,FALSE,,,,,,,,,,,
5/30(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
5/31(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
6/1(Mon),#VALUE!,Ⅰ列 2,FALSE,Ⅰ歴 29,FALSE,-,FALSE,ロマ 7,FALSE,,,,,,,,,,,
6/2(Tue),#VALUE!,Ⅰ列 3,FALSE,Ⅱ歴 1,FALSE,詩 42,FALSE,ロマ 8,FALSE,,,,,,,,,,,
6/3(Wed),#VALUE!,Ⅰ列 4,FALSE,箴 1-2,FALSE,詩 43,FALSE,ロマ 9,FALSE,,,,,,,,,,,
6/4(Thu),#VALUE!,箴 3-5,FALSE,-,FALSE,-,FALSE,ロマ 10,FALSE,,,,,,,,,,,
6/5(Fri),#VALUE!,箴 6-7,FALSE,-,FALSE,詩 7,FALSE,ロマ 11,FALSE,,,,,,,,,,,
6/6(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
6/7(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
6/8(Mon),#VALUE!,箴 8-10,FALSE,-,FALSE,詩 144,FALSE,ロマ 12,FALSE,,,,,,,,,,,
6/9(Tue),#VALUE!,箴 11-13,FALSE,-,FALSE,詩 8,FALSE,ロマ 13,FALSE,,,,,,,,,,,
6/10(Wed),#VALUE!,箴 14-15,FALSE,-,FALSE,-,FALSE,ロマ 14,FALSE,,,,,,,,,,,
6/11(Thu),#VALUE!,箴 16-18,FALSE,-,FALSE,-,FALSE,ロマ 15,FALSE,,,,,,,,,,,
6/12(Fri),#VALUE!,箴 19-21,FALSE,-,FALSE,詩 40,FALSE,ロマ 16,FALSE,,,,,,,,,,,
6/13(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
6/14(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
6/15(Mon),#VALUE!,箴 22-23,FALSE,-,FALSE,詩 117,FALSE,Iテサ 1,FALSE,,,,,,,,,,,
6/16(Tue),#VALUE!,箴 24-25,FALSE,-,FALSE,詩 41,FALSE,Iテサ 2,FALSE,,,,,,,,,,,
6/17(Wed),#VALUE!,箴 26-28,FALSE,-,FALSE,-,FALSE,Iテサ 3,FALSE,,,,,,,,,,,
6/18(Thu),#VALUE!,箴 29-31,FALSE,-,FALSE,-,FALSE,Iテサ 4,FALSE,,,,,,,,,,,
6/19(Fri),#VALUE!,雅 1-3,FALSE,-,FALSE,詩 72,FALSE,Iテサ 5,FALSE,,,,,,,,,,,
6/20(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
6/21(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
6/22(Mon),#VALUE!,雅 4-6,FALSE,-,FALSE,-,FALSE,IIテサ 1,FALSE,,,,,,,,,,,
6/23(Tue),#VALUE!,雅 7-8,FALSE,-,FALSE,詩 127,FALSE,IIテサ 2,FALSE,,,,,,,,,,,
6/24(Wed),#VALUE!,Ⅰ列 5,FALSE,Ⅱ歴 2,FALSE,-,FALSE,IIテサ 3,FALSE,,,,,,,,,,,
6/25(Thu),#VALUE!,Ⅰ列 6,FALSE,Ⅱ歴 3,FALSE,-,FALSE,Iテモ 1,FALSE,,,,,,,,,,,
6/26(Fri),#VALUE!,Ⅰ列 7,FALSE,Ⅱ歴 4,FALSE,詩 44,FALSE,Iテモ 2,FALSE,,,,,,,,,,,
6/27(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
6/28(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
6/29(Mon),#VALUE!,Ⅰ列 8,FALSE,-,FALSE,詩 30,FALSE,Iテモ 3,FALSE,,,,,,,,,,,
